date,close,daily_return,temperature,humidity,cloud_cover,wind_speed,good_weather,bad_weather
2025-05-23,579.11,-0.682570444,12.0,78,75,13.9,0,1
2025-05-22,583.09,0.039460591,10.5,86,100,20.4,0,1
2025-05-21,582.86,-1.685080543,12.2,74,100,18.1,0,1
2025-05-20,592.85,-0.336219215,13.9,56,37,15.2,1,0
2025-05-19,594.85,0.109390778,15.9,56,18,21.8,1,0
2025-05-16,594.2,0.633404464,18.1,93,100,13.4,0,1
2025-05-15,590.46,0.488435814,18.4,89,98,10.9,0,1
2025-05-14,587.59,0.127803149,16.3,89,99,17.1,0,1
2025-05-13,586.84,0.660388686,17.3,83,100,11.0,0,1
2025-05-12,582.99,3.304745366,16.2,61,60,11.6,0,0
2025-05-09,564.34,-0.127420097,14.3,89,94,12.5,0,1
2025-05-08,565.06,0.696783391,18.5,73,63,11.0,0,0
2025-05-07,561.15,0.420544023,17.8,67,65,11.8,0,0
2025-05-06,558.8,-0.83583255,16.3,89,78,15.2,0,1
2025-05-05,563.51,-0.573434964,16.2,92,100,13.5,0,1
2025-05-02,566.76,1.484412771,21.9,63,82,16.0,0,1
2025-05-01,558.47,0.708695495,15.7,43,72,14.6,0,1
2025-04-30,554.54,0.039688267,20.4,44,74,17.9,0,1
2025-04-29,554.32,0.629935554,19.5,47,56,19.3,1,0
2025-04-28,550.85,0.03813744,16.0,43,9,12.7,1,0
2025-04-25,550.64,0.722530136,19.3,49,92,16.4,0,1
2025-04-24,546.69,2.104889619,19.5,40,36,15.7,1,0
2025-04-23,535.42,1.54954955,17.6,43,64,14.7,0,0
2025-04-22,527.25,2.601774733,18.7,60,48,15.5,1,0
2025-04-21,513.88,-2.380273931,10.6,58,98,14.6,0,1
2025-04-17,526.41,0.142677777,9.3,53,6,14.7,1,0
2025-04-16,525.66,-2.222800915,7.7,54,72,25.8,0,1
2025-04-15,537.61,-0.280086066,13.4,66,65,26.7,0,0
2025-04-14,539.12,0.970146458,10.6,65,77,11.3,0,1
2025-04-11,533.94,1.784284571,5.8,85,100,17.9,0,1
2025-04-10,524.58,-4.381903686,5.2,68,77,17.2,0,1
2025-04-09,548.62,,3.3,49,7,15.0,0,0
